date,material,price,unit,location,source,retail_or_wholesale,data_type,notes
01/01/2025,plywood,812.14,sheet,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,plywood,776.11,sheet,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
01/01/2025,plywood,816.66,sheet,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
01/01/2025,plywood,808.55,sheet,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,195.65,pc,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
08/01/2025,steel,188.09,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,179.32,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,190.79,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,176.06,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,180.22,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,steel,176.82,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,cement,290.81,bag,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
08/01/2025,cement,278.67,bag,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
08/01/2025,cement,264.07,bag,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,cement,280.03,bag,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,cement,262.97,bag,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,cement,270.02,bag,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,cement,269.11,bag,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,sand,1397.6,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1381.39,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1317.26,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1357.05,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1246.2,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1311.87,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,sand,1291.82,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,gravel,1534.8,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
08/01/2025,gravel,1501.19,cubic_m,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
08/01/2025,gravel,1404.41,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,gravel,1394.36,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,gravel,1376.77,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,gravel,1422.71,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,gravel,1460.58,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,753.09,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,746.07,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,714.36,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,730.83,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,lumber,703.19,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,685.82,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,lumber,677.51,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,plywood,851.25,sheet,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
08/01/2025,plywood,818.41,sheet,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
08/01/2025,plywood,796.49,sheet,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,plywood,804.92,sheet,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,plywood,803.15,sheet,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
08/01/2025,plywood,791.01,sheet,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
08/01/2025,plywood,782.13,sheet,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,steel,197.41,pc,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
15/01/2025,steel,185.86,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
15/01/2025,steel,173.68,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,steel,185.68,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,steel,176.66,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,steel,184.13,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,steel,179.45,pc,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,cement,290.47,bag,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
15/01/2025,cement,279.4,bag,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
15/01/2025,cement,267.99,bag,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,cement,276.61,bag,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,cement,257.52,bag,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,cement,279.56,bag,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,cement,266.5,bag,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1389.87,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1412.39,cubic_m,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
15/01/2025,sand,1334.73,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1361.15,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1276.21,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1303.06,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,sand,1294,cubic_m,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,gravel,1532.89,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
15/01/2025,gravel,1493.89,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
15/01/2025,gravel,1447.39,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,gravel,1468.14,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,gravel,1353.89,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,gravel,1390.57,cubic_m,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,gravel,1405.43,cubic_m,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,lumber,752.62,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
15/01/2025,lumber,752.19,pc,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
15/01/2025,lumber,705.01,pc,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,lumber,718.95,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,lumber,672.42,pc,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,lumber,684.22,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,lumber,694.16,pc,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,plywood,839.55,sheet,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
15/01/2025,plywood,829.67,sheet,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
15/01/2025,plywood,797.85,sheet,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,plywood,820.95,sheet,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,plywood,761.19,sheet,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
15/01/2025,plywood,821.01,sheet,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
15/01/2025,plywood,803.79,sheet,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,steel,196.25,pc,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
22/01/2025,steel,192.51,pc,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
22/01/2025,steel,181.3,pc,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,steel,199.26,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,steel,179.1,pc,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,steel,183.66,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,steel,174.85,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,287.38,bag,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,296.36,bag,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,256.79,bag,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,272.4,bag,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,266.94,bag,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,265.64,bag,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,cement,267.59,bag,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,sand,1418.79,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
22/01/2025,sand,1372.38,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
22/01/2025,sand,1256.46,cubic_m,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,sand,1355.03,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,sand,1262.17,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,sand,1319.96,cubic_m,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,sand,1309.09,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,gravel,1548.86,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
22/01/2025,gravel,1479.31,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
22/01/2025,gravel,1388.12,cubic_m,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,gravel,1413.43,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,gravel,1402.79,cubic_m,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,gravel,1481.31,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,gravel,1420.74,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,775.16,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,731.1,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,704.6,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,731.15,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,639.66,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,691.14,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,lumber,713.77,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,plywood,836.37,sheet,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
22/01/2025,plywood,868.95,sheet,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
22/01/2025,plywood,772.56,sheet,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,plywood,803.9,sheet,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,plywood,786.2,sheet,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
22/01/2025,plywood,804.72,sheet,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
22/01/2025,plywood,781.13,sheet,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,steel,200.41,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
29/01/2025,steel,185.83,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
29/01/2025,steel,178.91,pc,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,steel,187.18,pc,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,steel,176.74,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,steel,179.04,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,steel,175.51,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,cement,293.66,bag,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
29/01/2025,cement,288.35,bag,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
29/01/2025,cement,268.39,bag,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,cement,270.44,bag,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,cement,258.32,bag,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,cement,269.39,bag,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,cement,264.62,bag,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,sand,1433.01,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
29/01/2025,sand,1384.88,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
29/01/2025,sand,1331.12,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,sand,1371.96,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,sand,1315.99,cubic_m,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,sand,1323.56,cubic_m,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,sand,1304.4,cubic_m,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,gravel,1518.54,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
29/01/2025,gravel,1469.06,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
29/01/2025,gravel,1465.36,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,gravel,1483.59,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,gravel,1399.31,cubic_m,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,gravel,1420.65,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,gravel,1367.02,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,770.74,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,739.42,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,704.17,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,711.88,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,687.35,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,lumber,698.45,pc,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,lumber,684.69,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,plywood,865,sheet,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
29/01/2025,plywood,820.14,sheet,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
29/01/2025,plywood,773.01,sheet,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,plywood,808.22,sheet,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
29/01/2025,plywood,775.67,sheet,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,plywood,817.38,sheet,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
29/01/2025,plywood,784.68,sheet,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,steel,195.47,pc,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
05/02/2025,steel,190.71,pc,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
05/02/2025,steel,181.81,pc,Davao City - Toril,Davies Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,steel,183.15,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,steel,176.54,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,steel,183.97,pc,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,steel,179.59,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,290.03,bag,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,284.57,bag,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,270.53,bag,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,288.04,bag,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,258.31,bag,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,cement,282.48,bag,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,cement,260.81,bag,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,sand,1361.81,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
05/02/2025,sand,1380.47,cubic_m,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
05/02/2025,sand,1322.85,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,sand,1405.33,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,sand,1263.65,cubic_m,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,sand,1340.47,cubic_m,Davao City - Panacan,City Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,sand,1265.99,cubic_m,Davao City - Mintal,Ace Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,gravel,1583.53,cubic_m,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
05/02/2025,gravel,1533.83,cubic_m,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
05/02/2025,gravel,1397.95,cubic_m,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,gravel,1404.99,cubic_m,Davao City - Talomo,Mindanao Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,gravel,1419.52,cubic_m,Davao City - Calinan,Marzan Hardware,retail,synthetic,Based on public price range interpolation
05/02/2025,gravel,1422.47,cubic_m,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,gravel,1431.22,cubic_m,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,lumber,759.86,pc,Davao City - Poblacion,Wilcon Depot,retail,synthetic,Based on public price range interpolation
05/02/2025,lumber,746.01,pc,Davao City - Buhangin,CitiHardware,retail,synthetic,Based on public price range interpolation
05/02/2025,lumber,695.57,pc,Davao City - Toril,Davies Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,lumber,732.61,pc,Davao City - Talomo,Mindanao Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,lumber,689.07,pc,Davao City - Calinan,Marzan Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,lumber,716.42,pc,Davao City - Panacan,City Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,lumber,673.34,pc,Davao City - Mintal,Ace Hardware,retail,public_reference,Based on public price range interpolation
05/02/2025,plywood,887.42,sheet,Davao City - Poblacion,Wilcon Depot,retail,public_reference,Based on public price range interpolation
05/02/2025,plywood,875.16,sheet,Davao City - Buhangin,CitiHardware,retail,public_reference,Based on public price range interpolation
